40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
06:13:08.0 (297257)|USER_INFO|[EXTERNAL]|0057F000000SZkg|test-d_masalsky@twistellar.com|Pacific Standard Time|GMT-07:00
06:13:08.0 (354003)|EXECUTION_STARTED
06:13:08.0 (358981)|CODE_UNIT_STARTED|[EXTERNAL]|0667F000003H5tO|VF: /apex/ShowNews
06:13:08.0 (29625519)|SYSTEM_MODE_ENTER|true
06:13:08.0 (29971531)|HEAP_ALLOCATE|[72]|Bytes:3
06:13:08.0 (30014471)|HEAP_ALLOCATE|[77]|Bytes:152
06:13:08.0 (30029340)|HEAP_ALLOCATE|[342]|Bytes:408
06:13:08.0 (30040167)|HEAP_ALLOCATE|[355]|Bytes:408
06:13:08.0 (30051129)|HEAP_ALLOCATE|[467]|Bytes:48
06:13:08.0 (30078565)|HEAP_ALLOCATE|[139]|Bytes:6
06:13:08.0 (30093151)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:128
06:13:08.0 (30098428)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
06:13:08.0 (30114261)|METHOD_ENTRY|[1]|01p7F000009Lmcm|JsonController.JsonController()
06:13:08.0 (30120576)|STATEMENT_EXECUTE|[1]
06:13:08.0 (30125136)|STATEMENT_EXECUTE|[1]
06:13:08.0 (30130876)|METHOD_EXIT|[1]|JsonController
06:13:08.0 (30185071)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:28
06:13:08.0 (30268132)|VARIABLE_SCOPE_BEGIN|[11]|this|JsonController|true|false
06:13:08.0 (30332802)|VARIABLE_ASSIGNMENT|[11]|this|{}|0x4e3cda11
06:13:08.0 (30342450)|STATEMENT_EXECUTE|[1]
06:13:08.0 (30343985)|STATEMENT_EXECUTE|[3]
06:13:08.0 (30350848)|HEAP_ALLOCATE|[3]|Bytes:4
06:13:08.0 (30457219)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
06:13:08.0 (30473203)|VARIABLE_ASSIGNMENT|[3]|this.resultEntries|[]|0x4e3cda11
06:13:08.0 (30478650)|STATEMENT_EXECUTE|[4]
06:13:08.0 (30480204)|STATEMENT_EXECUTE|[5]
06:13:08.0 (30481368)|STATEMENT_EXECUTE|[7]
06:13:08.0 (30486584)|HEAP_ALLOCATE|[7]|Bytes:4
06:13:08.0 (30494645)|VARIABLE_ASSIGNMENT|[7]|this.counter|0|0x4e3cda11
06:13:08.0 (30499023)|STATEMENT_EXECUTE|[8]
06:13:08.0 (30500762)|HEAP_ALLOCATE|[8]|Bytes:4
06:13:08.0 (30505754)|VARIABLE_ASSIGNMENT|[8]|this.limitSize|10|0x4e3cda11
06:13:08.0 (30509985)|STATEMENT_EXECUTE|[9]
06:13:08.0 (30511387)|HEAP_ALLOCATE|[9]|Bytes:4
06:13:08.0 (30516052)|VARIABLE_ASSIGNMENT|[9]|this.totalSize|0|0x4e3cda11
06:13:08.0 (30525589)|HEAP_ALLOCATE|[9]|Bytes:6
06:13:08.0 (30568788)|STATEMENT_EXECUTE|[11]
06:13:08.0 (30570604)|STATEMENT_EXECUTE|[12]
06:13:08.0 (30573672)|HEAP_ALLOCATE|[12]|Bytes:4
06:13:08.0 (30637404)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"counter":0,"limitSize":10,"resultEntries":"0x674f53c8","totalSize":0}|0x4e3cda11
06:13:08.0 (30648263)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
06:13:08.0 (30654238)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|[]|0x6b51ff1b
06:13:08.0 (30663559)|VARIABLE_ASSIGNMENT|[4]|this.blogEntriesToShow|[]|0x4e3cda11
06:13:08.0 (30672993)|STATEMENT_EXECUTE|[13]
06:13:08.0 (30676363)|HEAP_ALLOCATE|[13]|Bytes:62
06:13:08.0 (30687961)|HEAP_ALLOCATE|[13]|Bytes:4
06:13:08.0 (30709544)|HEAP_ALLOCATE|[50]|Bytes:5
06:13:08.0 (30724243)|HEAP_ALLOCATE|[56]|Bytes:5
06:13:08.0 (30731281)|HEAP_ALLOCATE|[64]|Bytes:7
06:13:08.0 (30996495)|SOQL_EXECUTE_BEGIN|[13]|Aggregations:0|SELECT TEMP_max_today__c, TEMP_max_tomorrow__c FROM Climate__c
06:13:08.0 (42720442)|SOQL_EXECUTE_END|[13]|Rows:0
06:13:08.0 (42745172)|HEAP_ALLOCATE|[13]|Bytes:4
06:13:08.0 (42756897)|HEAP_ALLOCATE|[13]|Bytes:0
06:13:08.0 (42784455)|HEAP_ALLOCATE|[13]|Bytes:4
06:13:08.0 (42840031)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"blogEntriesToShow":"0x6b51ff1b","counter":0,"limitSize":10,"resultEntries":"0x674f53c8","totalSize":0}|0x4e3cda11
06:13:08.0 (42855689)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|[]|0x3576cdfc
06:13:08.0 (42865860)|VARIABLE_ASSIGNMENT|[5]|this.climatesToShow|[]|0x4e3cda11
06:13:08.0 (42875734)|STATEMENT_EXECUTE|[16]
06:13:08.0 (42879807)|HEAP_ALLOCATE|[16]|Bytes:111
06:13:08.0 (42886967)|HEAP_ALLOCATE|[16]|Bytes:4
06:13:08.0 (43131881)|SOQL_EXECUTE_BEGIN|[16]|Aggregations:0|SELECT title__c, link__c, published__c, description__c FROM BlogEntry__c ORDER BY published__c DESC NULLS FIRST
06:13:08.0 (68320710)|SOQL_EXECUTE_END|[16]|Rows:42
06:13:08.0 (68345150)|HEAP_ALLOCATE|[16]|Bytes:172
06:13:08.0 (68414551)|HEAP_ALLOCATE|[16]|Bytes:26465
06:13:08.0 (68443003)|HEAP_ALLOCATE|[16]|Bytes:172
06:13:08.0 (68472901)|VARIABLE_ASSIGNMENT|[16]|this.resultEntries|"List of size 42 too large to display"|0x4e3cda11
06:13:08.0 (68479683)|STATEMENT_EXECUTE|[19]
06:13:08.0 (68529083)|HEAP_ALLOCATE|[19]|Bytes:4
06:13:08.0 (68540395)|VARIABLE_ASSIGNMENT|[19]|this.totalSize|42|0x4e3cda11
06:13:08.0 (68552351)|STATEMENT_EXECUTE|[20]
06:13:08.0 (68555205)|STATEMENT_EXECUTE|[21]
06:13:08.0 (68559122)|VARIABLE_SCOPE_BEGIN|[21]|i|Integer|false|false
06:13:08.0 (68566731)|HEAP_ALLOCATE|[21]|Bytes:4
06:13:08.0 (68572451)|VARIABLE_ASSIGNMENT|[21]|i|0
06:13:08.0 (68578730)|STATEMENT_EXECUTE|[21]
06:13:08.0 (68579868)|STATEMENT_EXECUTE|[22]
06:13:08.0 (68641737)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"blogEntriesToShow":"0x6b51ff1b","climatesToShow":"0x3576cdfc","counter":0,"limitSize":10,"resultEntries":"0x17708fb5","totalSize":42}|0x4e3cda11
06:13:08.0 (68694338)|HEAP_ALLOCATE|[22]|Bytes:24
06:13:08.0 (68711061)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
06:13:08.0 (68717617)|HEAP_ALLOCATE|[21]|Bytes:4
06:13:08.0 (68723996)|VARIABLE_ASSIGNMENT|[21]|i|1
06:13:08.0 (68730296)|STATEMENT_EXECUTE|[21]
06:13:08.0 (68731580)|STATEMENT_EXECUTE|[22]
06:13:08.0 (68754369)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"blogEntriesToShow":"0x6b51ff1b","climatesToShow":"0x3576cdfc","counter":0,"limitSize":10,"resultEntries":"0x17708fb5","totalSize":42}|0x4e3cda11
06:13:08.0 (68777368)|HEAP_ALLOCATE|[22]|Bytes:24
06:13:08.0 (68786825)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
06:13:08.0 (68791356)|HEAP_ALLOCATE|[21]|Bytes:4
06:13:08.0 (68796458)|VARIABLE_ASSIGNMENT|[21]|i|2
06:13:08.0 (68801667)|STATEMENT_EXECUTE|[21]
06:13:08.0 (68802890)|STATEMENT_EXECUTE|[22]
06:13:08.0 (68822110)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"blogEntriesToShow":"0x6b51ff1b","climatesToShow":"0x3576cdfc","counter":0,"limitSize":10,"resultEntries":"0x17708fb5","totalSize":42}|0x4e3cda11
06:13:08.0 (68841716)|HEAP_ALLOCATE|[22]|Bytes:24
06:13:08.0 (68849771)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
06:13:08.0 (68854297)|HEAP_ALLOCATE|[21]|Bytes:4
06:13:08.0 (68858945)|VARIABLE_ASSIGNMENT|[21]|i|3
06:13:08.0 (68863306)|STATEMENT_EXECUTE|[21]
06:13:08.0 (68864423)|STATEMENT_EXECUTE|[22]
06:13:08.0 (68882943)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"blogEntriesToShow":"0x6b51ff1b","climatesToShow":"0x3576cdfc","counter":0,"limitSize":10,"resultEntries":"0x17708fb5","totalSize":42}|0x4e3cda11
06:13:08.0 (68901463)|HEAP_ALLOCATE|[22]|Bytes:24
06:13:08.0 (68909433)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
06:13:08.0 (68913777)|HEAP_ALLOCATE|[21]|Bytes:4
06:13:08.0 (68918379)|VARIABLE_ASSIGNMENT|[21]|i|4
06:13:08.0 (68922700)|STATEMENT_EXECUTE|[21]
06:13:08.0 (68923861)|STATEMENT_EXECUTE|[22]
06:13:08.0 (68946907)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"blogEntriesToShow":"0x6b51ff1b","climatesToShow":"0x3576cdfc","counter":0,"limitSize":10,"resultEntries":"0x17708fb5","totalSize":42}|0x4e3cda11
06:13:08.0 (68967334)|HEAP_ALLOCATE|[22]|Bytes:24
06:13:08.0 (68975458)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
06:13:08.0 (68980274)|HEAP_ALLOCATE|[21]|Bytes:4
06:13:08.0 (68985100)|VARIABLE_ASSIGNMENT|[21]|i|5
06:13:08.0 (68989512)|STATEMENT_EXECUTE|[21]
06:13:08.0 (68990626)|STATEMENT_EXECUTE|[22]
06:13:08.0 (69008164)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"blogEntriesToShow":"0x6b51ff1b","climatesToShow":"0x3576cdfc","counter":0,"limitSize":10,"resultEntries":"0x17708fb5","totalSize":42}|0x4e3cda11
06:13:08.0 (69027238)|HEAP_ALLOCATE|[22]|Bytes:24
06:13:08.0 (69035333)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
06:13:08.0 (69039717)|HEAP_ALLOCATE|[21]|Bytes:4
06:13:08.0 (69044220)|VARIABLE_ASSIGNMENT|[21]|i|6
06:13:08.0 (69048591)|STATEMENT_EXECUTE|[21]
06:13:08.0 (69049715)|STATEMENT_EXECUTE|[22]
06:13:08.0 (69067128)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"blogEntriesToShow":"0x6b51ff1b","climatesToShow":"0x3576cdfc","counter":0,"limitSize":10,"resultEntries":"0x17708fb5","totalSize":42}|0x4e3cda11
06:13:08.0 (69084908)|HEAP_ALLOCATE|[22]|Bytes:24
06:13:08.0 (69092606)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
06:13:08.0 (69097129)|HEAP_ALLOCATE|[21]|Bytes:4
06:13:08.0 (69102069)|VARIABLE_ASSIGNMENT|[21]|i|7
06:13:08.0 (69106738)|STATEMENT_EXECUTE|[21]
