40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
05:45:46.0 (269500)|USER_INFO|[EXTERNAL]|0057F000000SZkg|test-d_masalsky@twistellar.com|Pacific Standard Time|GMT-07:00
05:45:46.0 (298515)|EXECUTION_STARTED
05:45:46.0 (301981)|CODE_UNIT_STARTED|[EXTERNAL]|0667F000003H5tO|VF: /apex/ShowNews
05:45:46.0 (1173326)|SYSTEM_MODE_ENTER|true
05:45:46.0 (1427735)|HEAP_ALLOCATE|[72]|Bytes:3
05:45:46.0 (1460488)|HEAP_ALLOCATE|[77]|Bytes:152
05:45:46.0 (1472276)|HEAP_ALLOCATE|[342]|Bytes:408
05:45:46.0 (1482516)|HEAP_ALLOCATE|[355]|Bytes:408
05:45:46.0 (1492546)|HEAP_ALLOCATE|[467]|Bytes:48
05:45:46.0 (1515011)|HEAP_ALLOCATE|[139]|Bytes:6
05:45:46.0 (1527303)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:100
05:45:46.0 (1532137)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
05:45:46.0 (1539124)|METHOD_ENTRY|[1]|01p7F000009Lmcm|JsonController.JsonController()
05:45:46.0 (1544122)|STATEMENT_EXECUTE|[1]
05:45:46.0 (1548576)|STATEMENT_EXECUTE|[1]
05:45:46.0 (1551655)|METHOD_EXIT|[1]|JsonController
05:45:46.0 (1566800)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
05:45:46.0 (1573355)|VARIABLE_SCOPE_BEGIN|[10]|this|JsonController|true|false
05:45:46.0 (1615228)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x68d0d637
05:45:46.0 (1623584)|STATEMENT_EXECUTE|[1]
05:45:46.0 (1624580)|STATEMENT_EXECUTE|[3]
05:45:46.0 (1630284)|HEAP_ALLOCATE|[3]|Bytes:4
