40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
04:52:52.0 (320070)|USER_INFO|[EXTERNAL]|0057F000000SZkg|test-d_masalsky@twistellar.com|Pacific Standard Time|GMT-07:00
04:52:52.0 (357431)|EXECUTION_STARTED
04:52:52.0 (361741)|CODE_UNIT_STARTED|[EXTERNAL]|0667F000003H5tO|VF: /apex/ShowNews
04:52:52.0 (27386807)|SYSTEM_MODE_ENTER|true
04:52:52.0 (27687963)|HEAP_ALLOCATE|[72]|Bytes:3
04:52:52.0 (27723188)|HEAP_ALLOCATE|[77]|Bytes:152
04:52:52.0 (27736297)|HEAP_ALLOCATE|[342]|Bytes:408
04:52:52.0 (27751056)|HEAP_ALLOCATE|[355]|Bytes:408
04:52:52.0 (27763326)|HEAP_ALLOCATE|[467]|Bytes:48
04:52:52.0 (27787090)|HEAP_ALLOCATE|[139]|Bytes:6
04:52:52.0 (27800232)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:100
04:52:52.0 (27804828)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:22
04:52:52.0 (27815088)|METHOD_ENTRY|[1]|01p7F000009Lmcm|JsonController.JsonController()
04:52:52.0 (27820197)|STATEMENT_EXECUTE|[1]
04:52:52.0 (27823240)|STATEMENT_EXECUTE|[1]
04:52:52.0 (27826868)|METHOD_EXIT|[1]|JsonController
04:52:52.0 (27842943)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:24
04:52:52.0 (27907307)|VARIABLE_SCOPE_BEGIN|[10]|this|JsonController|true|false
04:52:52.0 (27955831)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x5b91e9f0
04:52:52.0 (27964961)|STATEMENT_EXECUTE|[1]
04:52:52.0 (27966090)|STATEMENT_EXECUTE|[3]
04:52:52.0 (27971693)|HEAP_ALLOCATE|[3]|Bytes:4
04:52:52.0 (28049924)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
04:52:52.0 (28061448)|VARIABLE_ASSIGNMENT|[3]|this.resultEntries|[]|0x5b91e9f0
04:52:52.0 (28066079)|STATEMENT_EXECUTE|[4]
04:52:52.0 (28067502)|STATEMENT_EXECUTE|[6]
04:52:52.0 (28071805)|HEAP_ALLOCATE|[6]|Bytes:4
04:52:52.0 (28079648)|VARIABLE_ASSIGNMENT|[6]|this.counter|0|0x5b91e9f0
04:52:52.0 (28084115)|STATEMENT_EXECUTE|[7]
04:52:52.0 (28085622)|HEAP_ALLOCATE|[7]|Bytes:4
04:52:52.0 (28089770)|VARIABLE_ASSIGNMENT|[7]|this.limitSize|10|0x5b91e9f0
04:52:52.0 (28093526)|STATEMENT_EXECUTE|[8]
04:52:52.0 (28095051)|HEAP_ALLOCATE|[8]|Bytes:4
04:52:52.0 (28098852)|VARIABLE_ASSIGNMENT|[8]|this.totalSize|0|0x5b91e9f0
04:52:52.0 (28107496)|HEAP_ALLOCATE|[8]|Bytes:6
